feature,importance
mean_section_entropy,0.10650052
avg_string_len,0.10111989
num_path_like_strings,0.08846750
num_sections,0.08182177
global_entropy,0.07348742
heuristic_score,0.06998330
num_strings,0.06617508
max_string_len,0.06416437
file_size,0.05863196
entry_point,0.05604924
num_dynamic_symbols,0.05161957
num_other_imports,0.05133398
num_symbols,0.03768470
max_section_entropy,0.01962487
has_str_tmp_path,0.01198585
has_str_http,0.00572259
has_str_proc,0.00419303
num_memory_imports,0.00398209
num_shell_like_strings,0.00387632
has_import_system,0.00339878
has_str_dev_shm,0.00317533
has_import_dlsym,0.00307815
has_str_chmod,0.00299931
has_import_mprotect,0.00270646
has_str_ld_preload,0.00242109
has_str_curl,0.00232936
num_url_strings,0.00189198
has_import_dlopen,0.00180407
has_str_bin_sh,0.00159171
num_process_imports,0.00139810
num_network_imports,0.00138829
has_str_wget,0.00135466
has_str_etc_passwd,0.00121839
has_import_socket,0.00117703
has_import_popen,0.00105982
has_import_connect,0.00097901
has_str_base64,0.00093140
has_import_chroot,0.00091425
has_str_etc_shadow,0.00087886
has_str_bin_bash,0.00087437
has_import_fork,0.00087378
has_str_cron,0.00086779
has_import_munmap,0.00078175
has_str_https,0.00077439
has_import_execve,0.00060018
has_str_busybox,0.00051104
has_import_mmap,0.00044444
has_import_setgid,0.00029724
has_str_iptables,0.00027104
has_import_unlink,0.00025641
has_import_rename,0.00016599
has_str_telnet,0.00016148
has_import_open,0.00000000
arch_aarch64,0.00000000
arch_arm,0.00000000
arch_x86,0.00000000
arch_x86_64,0.00000000
executable_sections,0.00000000
has_exec_stack,0.00000000
has_import_accept,0.00000000
has_import_bind,0.00000000
has_import_chmod,0.00000000
has_import_chown,0.00000000
has_import_clone,0.00000000
has_import_creat,0.00000000
has_import_execv,0.00000000
has_import_execvp,0.00000000
has_import_getaddrinfo,0.00000000
has_import_gethostbyname,0.00000000
has_import_kill,0.00000000
has_import_listen,0.00000000
has_import_mkdir,0.00000000
has_import_openat,0.00000000
has_import_ptrace,0.00000000
has_import_recv,0.00000000
has_import_recvfrom,0.00000000
has_import_remove,0.00000000
has_import_rmdir,0.00000000
has_import_send,0.00000000
has_import_sendto,0.00000000
has_import_setegid,0.00000000
has_import_seteuid,0.00000000
has_import_setuid,0.00000000
has_import_vfork,0.00000000
has_rwx_segment,0.00000000
has_section_bss,0.00000000
has_section_data,0.00000000
has_section_dynamic,0.00000000
has_section_dynsym,0.00000000
has_section_interp,0.00000000
has_section_rodata,0.00000000
has_section_strtab,0.00000000
has_section_symtab,0.00000000
has_section_text,0.00000000
has_section_upx,0.00000000
has_str_chown,0.00000000
has_str_netcat,0.00000000
has_str_ssh,0.00000000
has_upx,0.00000000
is_elf,0.00000000
is_static,0.00000000
is_stripped,0.00000000
min_section_entropy,0.00000000
num_antidebug_imports,0.00000000
num_filesystem_imports,0.00000000
num_ip_like_strings,0.00000000
num_privilege_imports,0.00000000
num_segments,0.00000000
parse_failed,0.00000000
weird_section_names,0.00000000
writable_sections,0.00000000
zero_size_sections,0.00000000
